learning_rate, number_of_layer_elements, number_of_epochs, accuracy, standard_deviation
0.1,20,100,0.5378456075,0.08022403618268759
0.01,20,100,0.8832794275,0.020017982782582475
0.01,20,100,0.8832794275,0.020017982782582475
0.01,20,100,0.8832794275,0.020017982782582475
0.01,40,100,0.87150162,0.03529985600238975
0.01,60,100,0.8567354425,0.024903880636152242
0.01,80,100,0.8950704,0.009981194286547099
0.011,20,100,0.89094647,0.010457827608777089
0.011,40,100,0.8972804299999999,0.01298975873674717
0.011,60,100,0.88552685,0.01569596768795413
0.011,80,100,0.896082825,0.011846321738281268
0.01,20,100,0.86785905,0.018529716418971474
0.01,40,100,0.8764894125,0.029191272674644907
0.01,60,100,0.9006631549999999,0.008368006144851625
0.01,80,100,0.88745278,0.010854971318313058
0.09,20,100,0.5257596449999999,0.044146048277455975
0.09,40,100,0.6103319375,0.0443128521627949
0.09,60,100,0.56500542,0.148050522334497
0.09,80,100,0.6662215725,0.11095245288059483
0.009,20,100,0.8693281625000001,0.028415590740218974
0.009,40,100,0.8645876374999999,0.029272698608246193
0.009,60,100,0.8351171625,0.031743375647908315
0.009,80,100,0.8884407700000001,0.02184848294557084
